@relation relasionsita

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric

@data
Viernes,Julio,5,Laboral,391
Sábado,Julio,5,Víspera,385
Domingo,Julio,5,Festivo,423
Lunes,Julio,6,Laboral,1001
Martes,Julio,6,Laboral,758
Miércoles,Julio,6,Laboral,1318
Jueves,Julio,6,Laboral,1321
Viernes,Julio,6,Laboral,1370
Sábado,Julio,6,Víspera,1291
Domingo,Julio,6,Festivo,1417
Lunes,Julio,7,Laboral,1265
Martes,Julio,7,Laboral,940
Miércoles,Julio,7,Laboral,4226
Jueves,Julio,7,Laboral,4150
Viernes,Julio,7,Laboral,4141
Sábado,Julio,7,Víspera,4077
Domingo,Julio,7,Festivo,4126
Lunes,Julio,8,Laboral,1990
Martes,Julio,8,Laboral,1278
Miércoles,Julio,8,Laboral,7969
Jueves,Julio,8,Laboral,7825
Viernes,Julio,8,Laboral,7692
Sábado,Julio,8,Víspera,7999
Domingo,Julio,8,Festivo,7712
Lunes,Julio,9,Laboral,2781
Martes,Julio,9,Laboral,1719
Miércoles,Julio,9,Laboral,7375
Jueves,Julio,9,Laboral,7713
Viernes,Julio,9,Laboral,7959
Sábado,Julio,9,Víspera,7330
Domingo,Julio,9,Festivo,7516
Lunes,Julio,10,Laboral,3879
Martes,Julio,10,Laboral,2690
Miércoles,Julio,10,Laboral,7074
Jueves,Julio,10,Laboral,7414
Viernes,Julio,10,Laboral,6698
Sábado,Julio,10,Víspera,7348
Domingo,Julio,10,Festivo,6518
Lunes,Julio,11,Laboral,5049
Martes,Julio,11,Laboral,3978
Miércoles,Julio,11,Laboral,6350
Jueves,Julio,11,Laboral,7228
Viernes,Julio,11,Laboral,5680
Sábado,Julio,11,Víspera,7340
Domingo,Julio,11,Festivo,7372
Lunes,Julio,12,Laboral,6268
Martes,Julio,12,Laboral,5025
Miércoles,Julio,12,Laboral,7040
Jueves,Julio,12,Laboral,7385
Viernes,Julio,12,Laboral,6508
Sábado,Julio,12,Víspera,7426
Domingo,Julio,12,Festivo,7855
Lunes,Julio,13,Laboral,6688
Martes,Julio,13,Laboral,5593
Miércoles,Julio,13,Laboral,7350
Jueves,Julio,13,Laboral,7511
Viernes,Julio,13,Laboral,6922
Sábado,Julio,13,Víspera,7838
Domingo,Julio,13,Festivo,6318
Lunes,Julio,14,Laboral,6952
Martes,Julio,14,Laboral,5726
Miércoles,Julio,14,Laboral,8196
Jueves,Julio,14,Laboral,8452
Viernes,Julio,14,Laboral,7877
Sábado,Julio,14,Víspera,8435
Domingo,Julio,14,Festivo,432
Lunes,Julio,15,Laboral,6111
Martes,Julio,15,Laboral,4715
Miércoles,Julio,15,Laboral,8272
Jueves,Julio,15,Laboral,8591
Viernes,Julio,15,Laboral,7694
Sábado,Julio,15,Víspera,9325
Domingo,Julio,15,Festivo,9689
Lunes,Julio,16,Laboral,4743
Martes,Julio,16,Laboral,3880
Miércoles,Julio,16,Laboral,7821
Jueves,Julio,16,Laboral,7953
Viernes,Julio,16,Laboral,8025
Sábado,Julio,16,Víspera,8437
Domingo,Julio,16,Festivo,8827
Lunes,Julio,17,Laboral,5370
Martes,Julio,17,Laboral,4171
Miércoles,Julio,17,Laboral,7818
Jueves,Julio,17,Laboral,7798
Viernes,Julio,17,Laboral,8107
Sábado,Julio,17,Víspera,8390
Domingo,Julio,17,Festivo,5670
Lunes,Julio,18,Laboral,5492
Martes,Julio,18,Laboral,4997
Miércoles,Julio,18,Laboral,7400
Jueves,Julio,18,Laboral,7626
Viernes,Julio,18,Laboral,8101
Sábado,Julio,18,Víspera,8373
Domingo,Julio,18,Festivo,6636
Lunes,Julio,19,Laboral,5616
Martes,Julio,19,Laboral,5545
Miércoles,Julio,19,Laboral,7302
Jueves,Julio,19,Laboral,7143
Viernes,Julio,19,Laboral,7942
Sábado,Julio,19,Víspera,8241
Domingo,Julio,19,Festivo,8021
Lunes,Julio,20,Laboral,6691
Martes,Julio,20,Laboral,5694
Miércoles,Julio,20,Laboral,6681
Jueves,Julio,20,Laboral,5917
Viernes,Julio,20,Laboral,6870
Sábado,Julio,20,Víspera,7496
Domingo,Julio,20,Festivo,7935
Lunes,Julio,21,Laboral,6645
Martes,Julio,21,Laboral,5834
Miércoles,Julio,21,Laboral,6258
Jueves,Julio,21,Laboral,6227
Viernes,Julio,21,Laboral,5316
Sábado,Julio,21,Víspera,6685
Domingo,Julio,21,Festivo,7157
Lunes,Julio,22,Laboral,5334
Martes,Julio,22,Laboral,4775
Miércoles,Julio,22,Laboral,4928
